"","name","caption"
"113","screens/vlcsnap-2022-12-17-17h47m54s834.png","the workers began to protest about the dangers"
"114","screens/vlcsnap-2022-12-17-17h47m57s443.png","they demanded free elections"
"115","screens/vlcsnap-2022-12-17-17h47m59s062.png","so they could get rid of the corrupt communists who ran the mines"
"116","screens/vlcsnap-2022-12-17-17h48m02s265.png","the river Volga flood plain"
"117","screens/vlcsnap-2022-12-17-17h48m10s830.png","Chernobyl nuclear plan Ukraine"
"118","screens/vlcsnap-2022-12-17-17h48m13s570.png","900km from Moscow"
"119","screens/vlcsnap-2022-12-17-17h48m28s763.png","Volgograd (formerly Stalingrad)"
"120","screens/vlcsnap-2022-12-17-17h48m30s658.png","new recruits leaving to join the Soviet army"
"121","screens/vlcsnap-2022-12-17-17h48m37s469.png","fashion show Moscow 1986"
"122","screens/vlcsnap-2022-12-17-17h48m42s886.png","diamond mine Lensk Siberia"
"123","screens/vlcsnap-2022-12-17-17h48m45s291.png","4500kmn from Moscow"
"124","screens/vlcsnap-2022-12-17-17h48m50s192.png","the border of Poland and Belarus"
"125","screens/vlcsnap-2022-12-17-17h48m53s276.png","villager being forcibly taken to mental hospital"
"126","screens/vlcsnap-2022-12-17-17h49m04s181.png","Gorbachev still believed in communism as the future of the world"
"127","screens/vlcsnap-2022-12-17-17h49m06s503.png","but he knew that radical reform was necessary"
"128","screens/vlcsnap-2022-12-17-17h49m21s799.png","the Togliatti car plant"
"129","screens/vlcsnap-2022-12-17-17h49m28s198.png","Togliatti was one of the largest car plants in the world"
"130","screens/vlcsnap-2022-12-17-17h49m31s555.png","in 1986 Gorbachev went to Togliatti and announced a radical reform of communism"
"131","screens/vlcsnap-2022-12-17-17h49m34s361.png","he called it perestroika"
"132","screens/vlcsnap-2022-12-17-17h49m36s233.png","he would give new power to the managers of the giant industries"
"133","screens/vlcsnap-2022-12-17-17h49m38s796.png","the future of communism was now in their hands"
"134","screens/vlcsnap-2022-12-17-17h49m40s361.png","no longer controlled by Moscow"
"135","screens/vlcsnap-2022-12-17-17h49m56s431.png","the Mir space station was being built"
"136","screens/vlcsnap-2022-12-17-17h50m00s399.png","it was to be the first stage of the Soviet exploration of the whole solar system"
"137","screens/vlcsnap-2022-12-17-17h50m07s885.png","a giant nuclear rocket would come from Earth and join with it"
"138","screens/vlcsnap-2022-12-17-17h50m17s937.png","and set off across the universe"
"139","screens/vlcsnap-2022-12-17-17h50m30s719.png","the creche at Togliatti car plant"
"140","screens/vlcsnap-2022-12-17-17h50m34s217.png","the managers at the plant didn't believe they could reform the factory"
"141","screens/vlcsnap-2022-12-17-17h50m36s972.png","instead they began to use their new power to loot the plant"
"142","screens/vlcsnap-2022-12-17-17h50m39s404.png","hundreds of cars were taken off the production line and given to criminals waiting outside"
"143","screens/vlcsnap-2022-12-17-17h50m42s370.png","the managers and the gangsters split the profits"
"144","screens/vlcsnap-2022-12-17-17h50m44s458.png","a new alliance between crime and communism began to rise up"
"145","screens/vlcsnap-2022-12-17-17h51m09s535.png","Afghanistan 1986"
"146","screens/vlcsnap-2022-12-17-17h51m14s120.png","six years before Russian had invaded Afghanistan to save the communist regime"
"147","screens/vlcsnap-2022-12-17-17h51m16s726.png","it had turned into a horrific wat against the Mujahedin guerillas"
"148","screens/vlcsnap-2022-12-17-17h51m19s231.png","Russian helicopters were being shot down by stinger missiles"
"149","screens/vlcsnap-2022-12-17-17h51m21s714.png","the missiles were given to the Mujahedin by the CIA"
"150","screens/vlcsnap-2022-12-17-17h51m29s113.png","the Russians retreated into the cities"
"151","screens/vlcsnap-2022-12-17-17h51m32s012.png","Leningrad cake factory"
"152","screens/vlcsnap-2022-12-17-17h51m53s829.png","in April 1986 there were two giant explosions in the Chernobyl plant in Ukraine"
"153","screens/vlcsnap-2022-12-17-17h51m56s418.png","vast amounts of radiation spread across Ukraine and Russia"
"154","screens/vlcsnap-2022-12-17-17h51m59s489.png","Soviet propaganda class Kabul"
"155","screens/vlcsnap-2022-12-17-17h52m06s714.png","war dead cemetery Kabul"
"156","screens/vlcsnap-2022-12-17-17h52m12s003.png","Losino-Petrovsky state chick farm outside Moscow"
"157","screens/vlcsnap-2022-12-17-17h52m18s584.png","the Caucasus mountains on the border between Georgia and Russia"
"158","screens/vlcsnap-2022-12-17-17h52m20s287.png","1900km from Moscow"
"159","screens/vlcsnap-2022-12-17-17h52m26s841.png","the epidemic department Moscow region testing reservoir water"
"160","screens/vlcsnap-2022-12-17-17h53m01s829.png","by 1987 it was clear Perestroika wasn't working"
"161","screens/vlcsnap-2022-12-17-17h53m04s958.png","so much was being stolen from the factories that there were shortages in all the state shops"
"162","screens/vlcsnap-2022-12-17-17h53m08s079.png","Gorbachev decided to introduce a limited kind of capitalism into the communist system"
"163","screens/vlcsnap-2022-12-17-17h53m10s022.png","people could set up their own co-operatives"
"164","screens/vlcsnap-2022-12-17-17h53m12s732.png","for the first time they could make and sell things for profit"
"165","screens/vlcsnap-2022-12-17-17h53m15s511.png","it was the only way he said to save communism"
"166","screens/vlcsnap-2022-12-17-17h53m17s644.png","6 months later"
